City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,abra pampa,-22.7205,-65.697,8.93,14,1,4.87,AR,1719274104
146,taulaga,-11.0553,-171.0883,27.91,64,82,9.09,AS,1719274106
147,ilulissat,69.2167,-51.1,1.9,92,100,2.13,GL,1719274107
148,salym,60.0625,71.4789,18.7,95,70,2.58,RU,1719274108
149,dunedin,-45.8742,170.5036,10.45,99,100,2.8,NZ,1719274110
150,agat village,13.3886,144.6585,30.76,78,7,3.13,GU,1719274111
151,palmas,-10.2128,-48.3603,27.17,39,56,2.08,BR,1719273506
152,muhos,64.808,25.9931,10.83,80,100,2.05,FI,1719274114
153,saldanha,-33.0117,17.9442,13.45,83,0,7.39,ZA,1719274115
154,kiunga,-6.1219,141.2906,25.89,93,100,0.54,PG,1719274117
155,huarmey,-10.0681,-78.1522,17.86,83,1,4.36,PE,1719273856
156,lebu,-37.6167,-73.65,7.5,83,0,4.15,CL,1719273829
157,lethem,3.3803,-59.7968,25.07,86,13,2.25,GY,1719274121
158,bafilo,9.35,1.2667,22.89,88,95,1.9,TG,1719274122
159,luau,-10.7073,22.2247,14.89,49,1,2.15,AO,1719274123
160,howard springs,-12.497,131.047,24.37,50,13,3.37,AU,1719274125
161,moravska trebova,49.7579,16.6643,14.99,69,2,0.45,CZ,1719274126
162,ancud,-41.8697,-73.8203,5.74,85,1,1.5,CL,1719273931
163,elkins,38.9259,-79.8467,22.78,75,56,1.48,US,1719274129
164,makokou,0.5738,12.8642,21.68,97,100,0.83,GA,1719274130
165,hotan,37.0997,79.9269,25.57,31,100,2.68,CN,1719274132
166,fort st. john,56.2499,-120.8529,8.58,98,100,4.18,CA,1719274004
167,stanley,54.868,-1.6985,17.5,84,4,1.27,GB,1719274136
168,tual,-5.6667,132.75,25.06,91,100,7.13,ID,1719273859
169,kalaleh,37.3807,55.4916,26.45,43,88,1.76,IR,1719274138
170,otjiwarongo,-20.4637,16.6477,10.68,54,0,6.16,NA,1719274140
171,holualoa,19.6228,-155.9522,24.75,82,12,0.89,US,1719273988
172,ghanzi,-21.5667,21.7833,9.45,60,2,3.61,BW,1719274142
173,inderbor,48.55,51.7833,19.68,75,100,1.23,KZ,1719274144
174,brasileia,-11.0161,-68.7481,29.31,46,41,0.65,BR,1719274145
175,buka,40.8108,69.1986,22.63,46,0,3.12,UZ,1719274148
176,lorengau,-2.0226,147.2712,28.75,81,91,4.97,PG,1719273970
177,punta arenas,-53.15,-70.9167,0.48,83,83,5.39,CL,1719274151
178,rongelap,11.1635,166.8941,28.08,78,82,10.0,MH,1719274152
179,brisas de zicatela,15.8369,-97.0419,27.67,80,100,2.75,MX,1719274153
180,iitti,60.8949,26.3387,12.39,95,75,2.62,FI,1719274155
181,hamilton,39.1834,-84.5333,29.38,49,0,0.45,US,1719273382
182,gimbi,9.1667,35.8333,13.1,91,78,1.03,ET,1719274159
